test_name,test_title,zeta,iae,ise,peak_abs_error,mean_abs_error
noisy,Slow Input + Noise,0.1,9.765244849729743,1.0076871670424796,0.34285776757438446,0.06509646025241744
noisy,Slow Input + Noise,0.15,9.739096298071242,1.002908934917524,0.33837025863132464,0.06492239782729518
noisy,Slow Input + Noise,0.2,9.751635713200724,1.0057778119666914,0.3358682957686474,0.06500623976439417
noisy,Slow Input + Noise,0.25,9.788602484085002,1.013392331216136,0.3338404120191871,0.06525289155742803
noisy,Slow Input + Noise,0.3,9.846241546181771,1.0246947344813497,0.33187316659125354,0.06563731725903767
noisy,Slow Input + Noise,0.35,9.922763132511909,1.0391994219362144,0.32985322384180815,0.0661475909499755
noisy,Slow Input + Noise,0.4,10.0125607755792,1.0566482694523314,0.32775632025619883,0.06674634646427813
noisy,Slow Input + Noise,0.45,10.114521941745364,1.0768891578609252,0.32558396864361505,0.06742617245267919
noisy,Slow Input + Noise,0.5,10.229321913252875,1.0998251601950546,0.32334376629676154,0.06819157357687837
noisy,Slow Input + Noise,0.55,10.35694620353997,1.1253905518594625,0.32104357566035624,0.06904245556755405
noisy,Slow Input + Noise,0.6,10.496917568078384,1.1535383971493096,0.3186901447231505,0.06997563872460896
noisy,Slow Input + Noise,0.65,10.647372363340335,1.1842336471955308,0.3162890492268371,0.07097870131339877
noisy,Slow Input + Noise,0.7,10.808323429511962,1.2174490771912017,0.3192072973500517,0.07205172956755375
noisy,Slow Input + Noise,0.707,10.83171406853351,1.2222990496193558,0.3196646825215508,0.0722076693740818
noisy,Slow Input + Noise,0.75,10.980361266416391,1.2531627830850303,0.3224521232879711,0.07319866006306777
noisy,Slow Input + Noise,0.8,11.16259995607654,1.291356580418491,0.32564967851665383,0.07441358766177311
noisy,Slow Input + Noise,0.85,11.35434690071498,1.3320149474975875,0.3288065473561228,0.0756918957616463
noisy,Slow Input + Noise,0.9,11.555697063457472,1.375124308637347,0.3319285832944012,0.07703421744339227
noisy,Slow Input + Noise,0.95,11.76713123175466,1.4206725362314345,0.3350209068918595,0.07844375758620832
noisy,Slow Input + Noise,1.0,11.988207664694546,1.46864859730881,0.33808795104794154,0.07991757162334448
ramp,Pure Slow Ramp,0.1,0.8152405135968497,0.005492500021094334,0.026134419775635798,0.005434569889744866
ramp,Pure Slow Ramp,0.15,1.158220393935958,0.009735104166728516,0.026753871506883315,0.007720972859244683
ramp,Pure Slow Ramp,0.2,1.5209992673903692,0.016096249999993564,0.027410969222718014,0.010139352616546304
ramp,Pure Slow Ramp,0.25,1.8937492673904401,0.024414062499993713,0.028111749413475027,0.012624198241546775
ramp,Pure Slow Ramp,0.3,2.2659992673910794,0.03463083333334496,0.02886069975345338,0.015105710949884369
ramp,Pure Slow Ramp,0.35,2.6377492673905296,0.04671861607142289,0.029662611368369497,0.01758389074154737
ramp,Pure Slow Ramp,0.4,3.008999267390255,0.06066062499998255,0.03052447144967139,0.020058737616545547
ramp,Pure Slow Ramp,0.45,3.3797492673911904,0.07644503472224468,0.031454202296770185,0.022530251574885113
ramp,Pure Slow Ramp,0.5,3.7499992673906535,0.09406249999999809,0.03246089988833867,0.0249984326165482
ramp,Pure Slow Ramp,0.55,4.119749267390761,0.11350502840909474,0.03355488158531829,0.02746328074154892
ramp,Pure Slow Ramp,0.6,4.488999267391355,0.13476541666670647,0.03474990630472733,0.02992479594988621
ramp,Pure Slow Ramp,0.65,4.8577492673910925,0.1578369471154107,0.036061171181153366,0.032382978241551126
ramp,Pure Slow Ramp,0.7,5.225999267391058,0.1827132142857399,0.03750713118744336,0.034837827616550895
ramp,Pure Slow Ramp,0.707,5.277514367391063,0.18633955492080773,0.0377215004954007,0.03518124056230093
ramp,Pure Slow Ramp,0.75,5.593749267388988,0.20938802083320557,0.0391098615192162,0.03728934407487043
ramp,Pure Slow Ramp,0.8,5.9609992673898695,0.2378553124999343,0.04089412203387059,0.03973752761654298
ramp,Pure Slow Ramp,0.85,6.327749267391379,0.2681091360294702,0.042884782480017744,0.04218237824155304
ramp,Pure Slow Ramp,0.9,6.693999267388974,0.3001436111109565,0.04509667000602258,0.04462389594987033
ramp,Pure Slow Ramp,0.95,7.059749267390216,0.3339529111841653,0.047504639847973124,0.04706208074154528
ramp,Pure Slow Ramp,1.0,7.424999267390695,0.36953125000000037,0.05000000000000826,0.04949693261654848
ramp_sine,Ramp + Low-Freq Sine,0.1,0.9637885893331152,0.0082988968424827,0.03491473805635818,0.006424736851047252
ramp_sine,Ramp + Low-Freq Sine,0.15,1.3646011200514971,0.01408187695334462,0.035742242544075944,0.009096631005028489
ramp_sine,Ramp + Low-Freq Sine,0.2,1.7921456318226645,0.02295974766867146,0.036620036803619416,0.011946716211803415
ramp_sine,Ramp + Low-Freq Sine,0.25,2.2332504401290185,0.03464700719347349,0.03755615454566601,0.014887192218385465
ramp_sine,Ramp + Low-Freq Sine,0.3,2.6738904803258654,0.04904408108984768,0.03855658442582198,0.017824570281457553
ramp_sine,Ramp + Low-Freq Sine,0.35,3.1140651597179674,0.06610450790467567,0.03962775536918328,0.020758846450303403
ramp_sine,Ramp + Low-Freq Sine,0.4,3.5537738850552065,0.08580173561033476,0.04077900151188866,0.023690016770505872
ramp_sine,Ramp + Low-Freq Sine,0.45,3.9930160625495317,0.10811805377630151,0.04202081983827828,0.026618077284059908
ramp_sine,Ramp + Low-Freq Sine,0.5,4.431791097880696,0.13304016645976796,0.043365433057199185,0.029543024029410773
ramp_sine,Ramp + Low-Freq Sine,0.55,4.870098396231972,0.16055717990517732,0.04482657032751261,0.03246485304169215
ramp_sine,Ramp + Low-Freq Sine,0.6,5.30793736229233,0.19065959641222008,0.0464224757691855,0.035383560352740616
ramp_sine,Ramp + Low-Freq Sine,0.65,5.745307400279098,0.2233387725912732,0.04817352039773559,0.038299141991246725
ramp_sine,Ramp + Low-Freq Sine,0.7,6.182207913958648,0.25858660981235704,0.050104170602598384,0.04121159398289289
ramp_sine,Ramp + Low-Freq Sine,0.707,6.24333648387358,0.2637258422213985,0.050390319518667105,0.04161908728953321
ramp_sine,Ramp + Low-Freq Sine,0.75,6.618638306651203,0.2963953684896343,0.05224362317290364,0.04412091235038538
ramp_sine,Ramp + Low-Freq Sine,0.8,7.054597981270546,0.3367575520270054,0.05462448218807939,0.047027093113719075
ramp_sine,Ramp + Low-Freq Sine,0.85,7.490086340318505,0.3796658317359019,0.057278700628433044,0.04993013229014069
ramp_sine,Ramp + Low-Freq Sine,0.9,7.925102785905975,0.425112996795896,0.06022211491056623,0.05283002589428887
ramp_sine,Ramp + Low-Freq Sine,0.95,8.359646719792078,0.4730919200328476,0.06340764423054832,0.05572676993845523
ramp_sine,Ramp + Low-Freq Sine,1.0,8.793717543374711,0.5235955339726093,0.06669277748960573,0.05862036043252138
slow_sine,Ultra-Slow Sine,0.1,0.24296798953322338,0.0005962750220661443,0.010035187086293022,0.0016196233168100044
slow_sine,Ultra-Slow Sine,0.15,0.34277942620457647,0.0009671202996360618,0.010273014378628084,0.0022849716863177633
slow_sine,Ultra-Slow Sine,0.2,0.4503535197332467,0.0015524932180171953,0.010525295055355089,0.0030020647217180218
slow_sine,Ultra-Slow Sine,0.25,0.5618950306865761,0.0023289948079852855,0.010794331361772463,0.00374560398958814
slow_sine,Ultra-Slow Sine,0.3,0.6733648144662654,0.003288586145024329,0.01108184307137959,0.004488665225140066
slow_sine,Ultra-Slow Sine,0.35,0.7847624445013966,0.004427615524389392,0.011389684189389094,0.005231245584835884
slow_sine,Ultra-Slow Sine,0.4,0.8960874947891593,0.005744075262068194,0.011720537415464414,0.0059733422289239045
slow_sine,Ultra-Slow Sine,0.45,1.0073395399000682,0.007236687301285497,0.012077400614755214,0.006714952321473456
slow_sine,Ultra-Slow Sine,0.5,1.118518154980531,0.008904537460668134,0.012463802444090233,0.00745607303039198
slow_sine,Ultra-Slow Sine,0.55,1.2296229157630332,0.010746909188598714,0.012883676915524432,0.008196701527492958
slow_sine,Ultra-Slow Sine,0.6,1.340653398567724,0.012763200445039384,0.013342237457941894,0.008936834988506448
slow_sine,Ultra-Slow Sine,0.65,1.4516091803088893,0.014952878950005077,0.013845354129265264,0.009676470593122254
slow_sine,Ultra-Slow Sine,0.7,1.5624898385017025,0.017315456615368575,0.014400017397422395,0.010415605525034927
slow_sine,Ultra-Slow Sine,0.707,1.5780071117667849,0.017659988430314674,0.014482208988613968,0.010519044301684054
slow_sine,Ultra-Slow Sine,0.75,1.673294951263952,0.019850474207702903,0.015014553930486181,0.011154236971955268
slow_sine,Ultra-Slow Sine,0.8,1.7840240973273742,0.022557491766324,0.015698230141240253,0.011892362125685889
slow_sine,Ultra-Slow Sine,0.85,1.8946768560372216,0.02543608240644482,0.01645996498363195,0.012629978182118326
slow_sine,Ultra-Slow Sine,0.9,2.0052528073580937,0.02848582819126142,0.01730353210028611,0.013367082341271907
slow_sine,Ultra-Slow Sine,0.95,2.115751531885586,0.03170631731083132,0.01821381211228476,0.014103671807371416
slow_sine,Ultra-Slow Sine,1.0,2.2261726108439923,0.035097142109969545,0.01915165700576814,0.014839743788831761
