noise_mode,noise_std,spearman_mean,spearman_p10,spearman_median,spearman_p90,winner_prob_pair_a,winner_prob_pair_b
command_noise,0.0,1.0,1.0,1.0,1.0,1.0,1.0
command_noise,0.02,0.9476190476190477,0.942857142857143,0.942857142857143,0.942857142857143,1.0,1.0
command_noise,0.04,0.9009523809523811,0.8285714285714287,0.942857142857143,0.942857142857143,1.0,1.0
command_noise,0.06,0.827619047619048,0.8285714285714287,0.8285714285714287,0.8285714285714287,1.0,1.0
command_noise,0.08,0.6390476190476192,0.6,0.6,0.7714285714285715,1.0,1.0
command_noise,0.1,0.5942857142857143,0.6,0.6,0.6,0.9833333333333333,1.0
command_noise,0.12,0.4780952380952381,0.2571428571428572,0.5428571428571429,0.6,0.5666666666666667,1.0
measurement_noise,0.0,1.0,1.0,1.0,1.0,1.0,1.0
measurement_noise,0.02,1.0,1.0,1.0,1.0,1.0,1.0
measurement_noise,0.04,0.9914285714285714,0.942857142857143,1.0,1.0,1.0,1.0
measurement_noise,0.06,0.9742857142857144,0.942857142857143,1.0,1.0,1.0,1.0
measurement_noise,0.08,0.945714285714286,0.8285714285714287,0.942857142857143,1.0,1.0,1.0
measurement_noise,0.1,0.945714285714286,0.8285714285714287,0.942857142857143,1.0,1.0,1.0
measurement_noise,0.12,0.9161904761904762,0.7714285714285715,0.942857142857143,1.0,1.0,1.0
